,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M14,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:10.012500,0 days 00:04:04.736464,0 days 00:03:29,0 days 00:10:14.750000,0 days 00:12:43.500000,0 days 00:15:49,0 days 00:25:18
M14,AE1,287.0,205.41463414634146,114.39887980735158,1.0,110.5,210.0,302.0,400.0,287,0 days 00:05:48.491289,0 days 00:02:45.735632,0 days 00:00:27,0 days 00:03:42.500000,0 days 00:05:28,0 days 00:07:59,0 days 00:17:33
M14,AE2,309.0,201.93851132686083,115.3023387609752,1.0,104.0,203.0,301.0,400.0,309,0 days 00:05:50.355987,0 days 00:02:35.528350,0 days 00:00:17,0 days 00:03:52,0 days 00:05:46,0 days 00:07:21,0 days 00:16:44
M14,AW1,179.0,194.81564245810057,117.51593045728835,2.0,90.0,188.0,297.0,399.0,179,0 days 00:04:49.424581,0 days 00:02:26.070241,0 days 00:00:19,0 days 00:03:01.500000,0 days 00:04:34,0 days 00:06:22.500000,0 days 00:10:54
M14,AW2,179.0,197.05027932960894,117.78953205731437,1.0,93.5,195.0,301.5,400.0,179,0 days 00:05:12.407821,0 days 00:02:43.269702,0 days 00:00:04,0 days 00:03:01,0 days 00:04:51,0 days 00:07:09.500000,0 days 00:12:30
M14,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:14.162500,0 days 00:04:15.216122,0 days 00:05:16,0 days 00:09:55.750000,0 days 00:13:08.500000,0 days 00:16:12,0 days 00:27:05
M14,BE1,169.0,200.6153846153846,111.98883872958055,2.0,110.0,193.0,295.0,400.0,169,0 days 00:04:56.579881,0 days 00:02:40.189530,0 days 00:00:26,0 days 00:02:53,0 days 00:04:27,0 days 00:06:53,0 days 00:13:16
M14,BE2,170.0,199.73529411764707,115.39638627742775,2.0,98.25,209.0,297.5,400.0,170,0 days 00:05:09.776470,0 days 00:02:28.823780,0 days 00:00:18,0 days 00:03:16.750000,0 days 00:04:58,0 days 00:06:54.500000,0 days 00:11:56
M14,BW1,306.0,201.2450980392157,116.14708901805247,1.0,98.25,202.5,301.5,399.0,306,0 days 00:05:51.781045,0 days 00:02:39.423596,0 days 00:00:35,0 days 00:04:01.250000,0 days 00:05:45.500000,0 days 00:07:23,0 days 00:15:22
M14,BW2,192.0,199.390625,117.12712257878782,2.0,103.75,194.5,300.5,399.0,192,0 days 00:05:16.036458,0 days 00:02:38.841630,0 days 00:00:37,0 days 00:03:21.750000,0 days 00:05:09.500000,0 days 00:06:51.750000,0 days 00:11:47
M14,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:28.865000,0 days 00:07:44.970672,0 days 00:20:16,0 days 00:28:37.750000,0 days 00:35:06,0 days 00:41:44,0 days 00:55:27
M14,I,321.0,190.78504672897196,114.54636299639084,1.0,92.0,188.0,285.0,399.0,321,0 days 00:05:50.074766,0 days 00:02:35.279246,0 days 00:00:15,0 days 00:03:54,0 days 00:05:34,0 days 00:07:28,0 days 00:12:25
M14,O,297.0,198.93602693602693,117.61331201820296,1.0,95.0,198.0,306.0,400.0,297,0 days 00:05:55.225589,0 days 00:02:33.082051,0 days 00:00:22,0 days 00:04:14,0 days 00:05:41,0 days 00:07:33,0 days 00:15:10
M15,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:14.007500,0 days 00:04:04.940251,0 days 00:04:48,0 days 00:10:11.750000,0 days 00:12:46,0 days 00:15:39.250000,0 days 00:25:01
M15,AE1,285.0,200.9543859649123,113.29095048294624,1.0,103.0,200.0,295.0,399.0,285,0 days 00:06:07.505263,0 days 00:02:40.768655,0 days 00:00:45,0 days 00:04:03,0 days 00:05:38,0 days 00:08:03,0 days 00:14:08
M15,AE2,311.0,198.58520900321543,115.21267140157994,1.0,100.5,203.0,298.5,397.0,311,0 days 00:05:57.540192,0 days 00:02:38.048188,0 days 00:00:19,0 days 00:04:08.500000,0 days 00:05:48,0 days 00:07:36,0 days 00:13:30
